2|10|3|888551441
2|10|3|888551441
4|10|4|892004275
4|10|5|892003526
5|10|1|875636493
1|1|4|878542420
1|1|5|889751711
2|1|5|888552084
2|1|3|888980240
3|1|4|889237455
4|1|5|892002353
5|1|4|875635748
1|2|5|875072442
2|2|4|888550774
2|2|3|888550631
3|2|1|889237224
5|2|3|875636053
1|3|4|878542699
2|3|4|888551922
3|3|3|889237122
3|3|2|889237269
4|3|5|892002352
5|3|3|875635225
2|4|1|888980085
3|4|2|889237224
3|4|3|889237122
4|4|3|892004275
4|4|5|892004409
4|4|5|892002353
5|4|1|875721432
5|4|1|875635807
1|5|4|878542441
1|5|2|878542201
3|5|1|889237269
3|5|1|889237247
5|5|2|875635723
4|6|3|892003459
1|7|3|874965739
2|7|4|888550871
3|7|1|889236983
4|7|4|892003525
5|7|4|875636198
3|8|5|889237455
4|8|4|892001445
5|8|3|875720691
1|9|3|888732928
5|9|1|878844423
1|10|4|875072547
1|10|4|887431883
2|10|5|888552084
